source,target,type
000001,industry_bank,in_industry
600036,industry_bank,in_industry
601398,industry_bank,in_industry
601318,industry_insurance,in_industry
601628,industry_insurance,in_industry
688981,industry_semiconductor,in_industry
603501,industry_semiconductor,in_industry
002415,industry_semiconductor,in_industry
688981,concept_chip,has_concept
603501,concept_chip,has_concept
002415,concept_ai,has_concept
688981,concept_ai,has_concept
601318,concept_ai,has_concept
000001,601318,subsidiary_of
601318,person_ma,has_chairman
601398,600036,peer_of
600036,000001,peer_of
